performance_id,date,accumulated_sales,daily_sales,booking_rate,price_avg,ad_exposure,sns_mention_daily,promo_event_flag
1001,2025-06-03,0,1,0.0,269148,307980,97,False
1001,2025-06-02,0,0,0.0,285048,423412,41,False
1001,2025-05-25,0,1,0.0,244593,328504,75,False
1001,2025-05-26,0,1,0.0,248494,151226,56,False
1001,2025-06-04,0,0,0.0,272989,327595,52,False
1001,2025-05-28,0,0,0.0,285880,463476,91,False
1001,2025-05-28,0,1,0.0,243510,201371,53,False
1001,2025-05-29,0,0,0.0,245833,153276,20,False
1001,2025-06-01,0,0,0.0,260043,322320,58,False
1001,2025-05-25,0,0,0.0,291835,284374,23,False
1001,2025-06-04,0,0,0.0,266903,159129,35,False
1001,2025-05-26,0,0,0.0,272864,246922,80,False
1001,2025-06-04,0,0,0.0,249279,278376,25,False
1001,2025-06-09,0,0,0.0,245019,268976,0,False
1001,2025-06-02,0,0,0.0,273036,472760,38,True
1001,2025-06-06,0,1,0.0,283808,306258,93,True
1001,2025-06-09,0,1,0.0,260327,225995,58,False
1001,2025-06-10,0,0,0.0,283304,136408,54,False
1001,2025-06-11,0,1,0.0,270016,190327,82,False
1001,2025-06-09,0,0,0.0,281645,167957,79,False
1001,2025-06-06,0,0,0.0,289374,351147,14,False
1001,2025-06-01,0,0,0.0,291554,137641,15,False
1001,2025-05-31,0,0,0.0,270761,381685,6,True
1001,2025-05-25,0,0,0.0,280145,442703,71,False
1001,2025-06-05,0,0,0.0,283589,398206,93,True
1001,2025-05-30,0,0,0.0,258084,349321,16,False
1001,2025-06-01,0,1,0.0,253313,458587,44,True
1001,2025-06-03,0,0,0.0,269393,251734,86,True
1001,2025-06-06,0,0,0.0,284052,406691,92,False
1001,2025-05-27,0,0,0.0,274515,354444,41,False
1002,2025-06-22,44,1,1.72,91238,265873,67,False
1002,2025-07-13,36,0,0.0,90863,361044,78,False
1002,2025-06-23,48,0,0.0,98516,143001,36,False
1002,2025-06-30,42,1,1.72,104273,287710,45,False
1002,2025-06-22,12,1,1.72,88766,442579,3,False
1002,2025-07-13,19,0,0.0,97946,403988,73,True
